input;fab
DEGRE 1;DEGRE1
DEGRE 2;DEGRE2
DEGRE 3;DEGRE3
DEGRE 4;DEGRE4
DEGRE 5;DEGRE5
DEGRE 6;DEGRE6
DEGRE 7;DEGRE7
DEGRE 8;DEGRE8
1 ANNEE;ANNEE1
2 ANNEE;ANNEE2
3 ANNEE;ANNEE3
4 ANNEE;ANNEE4
5 ANNEE;ANNEE5
6 ANNEE;ANNEE6
ANNEE 1;ANNEE1
ANNEE 2;ANNEE2
ANNEE 3;ANNEE3
ANNEE 4;ANNEE4
ANNEE 5;ANNEE5
ANNEE 6;ANNEE6
NR*;
0*;
1ER;PREMIER
1*;
2EME;SECOND
2*;
3*;
4*;
5*;
6*;
7*;
8*;
9*;
AVANT DERNIER ECH*;
DERNIER ECH*;
ECHELON;
ECHELLON;
ACCEUIL;ACCUEIL
ACCEUIL;ACCUEIL
ACEUIL;ACCUEIL
ACUEUIL;ACCUEIL
ACCUEUIL;ACCUEIL
ACHATS;ACHAT
ADJT;ADJOINT
ADJ;ADJOINT
ADJUDENT;ADJUDANT
ADJOINTE;ADJOINT
ADMINISTRATIF*;ADMINISTIF
ADMINISTRATIVE*;ADMINISTIF
ADMINISTRATION*;ADMINISTION
AERIUM;HOSPICE
AERODROME;AEROPORT
AEROGARE;AEROPORT
AEROPOSTAL*;PTT
AFFRETEMENT*;FRET
AGEE;AGE
AGENCEMENT*;AGENCEUR
AGENCES;AGENCE
AGENT TECHNIQUE;AGTTECHN
AGF;ASSURANCE
AGNEAU*;OVIN
ENSEIGNANT*;PROFESSEUR
ENSEIGNENT*;PROFESSEUR
PROFESSEUR*;PROFESSEUR
PROFFESSEUR*;PROFESSEUR
ELEVE* PROFESSEUR*;PROFESSEUR
DETACHE* SUPERIEUR;UNIVERSITE
ENSEIGNEM* SUPERIEUR;UNIVERSITE
PROFESSEUR ENSEIGNEMENT;PROFESSEUR
PROFESSEUR ** ENSEIGNEMENT;PROFESSEUR **
PROFESSEUR DETACHE*;PROFESSEUR
PROFESSEUR ** DETACHE*;PROFESSEUR **
PROFESSEUR STAGIAIRE*;PROFESSEUR
PROFESSEUR ** STAGIAIRE*;PROFESSEUR **
PROFESSEUR TITULAIRE;PROFESSEUR
PROFESSEUR ** TITULAIRE;PROFESSEUR **
PROFESSEUR PROF;PROFESSEUR
PROFESSEUR ** PROF;PROFESSEUR **
AGREGATION;AGREGE
AGREGE*;AGREGE
BI ADMISSIBLE;AGREGE
BIADMISSIBLE;AGREGE
CAPES;AGREGE
CAPET;AGREGE
AGREGE DEGRE*;AGREGE
AGREGE ED* NAT*;AGREGE
AGREGE ENSEIG*;AGREGE
AGREGE FORMAT*;AGREGE
AGRICULTEUR;CULTIVATEUR
AGRICULTRICE;CULTIVATEUR
AGRICULTURE;AGRICOLE
AGT;AGENT
AGEN;AGENT
AGANT;AGENT
AIRBUS A320;AVIATION
AIRBUS 320;AVIATION
AIRBUS;AVIATION
A320;AVIATION
ALIMENTAIRE*;ALIMENT
ALIMENTATION*;ALIMENT
ALLEMAND*;LANGUES
ALPE;ANPE
ALTISTE;MUSICIEN
ALUMINIUM;METAUX
AMEUBLEMENT;MEUBLE
AMUP;AMVP
ANDRE;CHAUSSURE
ANGLAIS*;LANGUES
ANIAMATEUR;ANIMATEUR
AOP1;OUVRIER
AOP;OUVRIER
APA;AAP
APPARITEUR*;HUISSIER
APPARITRICE;HUISSIER
APRENTI;APPRENTI
ARACHIDE*;OLEAGINEUX
ARME;ARMURIER
ARMEES;ARMEE
ARMES;ARMURIER
ARTS;ART
ASSEDIC;SECUSOC
ASSEMBL*;ASSEMBLEUR
ASSIST;ASSISTANT
ASSISTANTE;ASSISTANT
ASSISSTANT*;ASSISTANT
ASISTANT*;ASSISTANT
ASSISANT*;ASSISTANT
ASSSTANT*;ASSISTANT
ASSITANT*;ASSISTANT
AT;AGTTECHN
AT1;AGTTECHN
AT2;AGTTECHN
ATACHE*;ATTACHE
AUCHAN;SUPERMARCHE
AUDITRICE;AUDITEUR
AUDITEUR;AUDIT
AUTOMOBIL*;VL
AUTOS;VL
AUXIL*;AUXILIAIRE
AXIL*;AUXILIAIRE
AVICOLE*;AVICULTEUR
AVION*;AVIATION
AVOINE*;CEREALE
AXDIS;AUXILIAIRE PTT
AXBSG;AUXILIAIRE PTT
BABBY;BABY
SEATTING;SITTER
SEATING;SITTER
SITTEUR;SITTER
SITING;SITTING
SITTING;SITTER
BABYSITTER;BABY SITTER
BABYSITTING;BABY SITTER
BABYSITING;BABY SITTER
BARWOMAN;BARMAID
BALS;BAL
BAMBROCH*;BANCBROCHEUR
BANBROCH*;BANCBROCHEUR
BANCAIRE*;BANQUE
BANCROCHEU*;BANCBROCHEUR
BANCS;BANC
BANDES;BANDE
BANQUAIRE*;BANQUE
BAR;CAFE
BARS;CAFE
BASSISTE*;MUSICIEN
BATA;CHAUSSURE
BAT;BATIMENT
BECASSE*;GIBIER
BEP;SECONDTECH
BETAIL*;BESTIAUX
BETE*;BESTIAUX
BETONNEUR;BETONNIER
BICYCLETTE*;VELO
BIENS;BIEN
BILLE;BILLES
BIOLOGI*;BIOLOGI
BLE;CEREALE
BLES;CEREALE
BNP;BANQUE
BOBINNIER;BOBINIER
BOBINAGE*;BOBINEUR
BOBINIER*;BOBINEUR
BOEUF*;BOVIN
BORDS;BORD
BOUTIQUE;COMMERCE
BOUTIQUIER*;COMMERCANT
BREBIS;OVIN
BUREAUTIQUE*;INFORMATIQ
CADRES;CADRE
CAF;SECUSOC
CAFETARIA;CAFETERIA
CAILLE*;VOLAILLE
CAMION;PL
CAMIONS;PL
CANA;COOPERATIVE AGRICOLE
CANARD*;VOLAILLE
CANAUX;CANAL
CAP;SECONDTECH
CAPRIN*;OVIN
CAROSSIER;CARROSSIER
CARREFOUR;SUPERMARCHE
CARRISTE;CARISTE
CARS;CAR
CARTONNERIE;CARTON
CARTONS;CARTON
CEG;COLLEGE
CETA;SECONDTECH
CET;SECONDTECH
CERTIFICIE*;CERTIFIE
CERTFIE*;CERTIFIE
PROF CERTIFIE*;AGREGE PROFESSEUR
PROFESSEUR CERTIFIE*;AGREGE PROFESSEUR
PROFESSEUR ** CERTIFIE*;AGREGE PROFESSEUR **
CERTIFIE* PROFESSEUR;AGREGE PROFESSEUR
CERTIFIE* ** PROFESSEUR;AGREGE PROFESSEUR **
PROF* AGREGE;AGREGE PROFESSEUR
PROF* ** AGREGE;AGREGE PROFESSEUR **
PROFESSEUR ** AGREGE;AGREGE PROFESSEUR **
AGREGE* ** PROFESSEUR;AGREGE PROFESSEUR **
AGREGE* AGREGE;AGREGE
AGREGE* ** AGREGE;AGREGE **
AGREGE* CERTIF*;AGREGE
AGREGE* ** CERTIF*;AGREGE **
CFPA;AFPA
CHAIS;CHAI
